STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/1/2021,69,82,56
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/2/2021,74,88,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/3/2021,78,93,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/4/2021,72,82,64
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/5/2021,76,91,61
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/6/2021,79,93,63
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/7/2021,83,96,67
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/8/2021,81,95,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/9/2021,83,97,68
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/10/2021,83,96,67
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/11/2021,84,97,66
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/12/2021,85,97,70
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/13/2021,81,95,68
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/14/2021,75,92,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/15/2021,72,86,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/16/2021,73,90,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/17/2021,77,91,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/18/2021,78,93,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/19/2021,71,82,60
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/20/2021,73,86,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/21/2021,76,89,60
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/22/2021,76,91,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/23/2021,74,90,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/24/2021,78,92,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/25/2021,78,91,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/26/2021,78,93,65
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/27/2021,73,85,62
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/28/2021,68,85,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/29/2021,68,83,56
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/30/2021,65,78,59
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",7/31/2021,68,80,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/1/2021,64,78,57
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/2/2021,69,83,54
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/3/2021,74,90,58
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/4/2021,76,90,60
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/5/2021,79,93,64
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/6/2021,66,77,54
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/7/2021,69,86,52
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/8/2021,74,90,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/9/2021,70,85,56
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/10/2021,71,87,54
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/11/2021,74,89,55
USR0000NSPM,"SPRUCE MOUNTAIN NEVADA, NV US",8/12/2021,77,91,61
