NAME,DATE,TAVG,TMIN,TMAX
"KANSAS CITY 2.1 SSW, KS US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"ALBUQUERQUE 5.0 NE, NM US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"BUDE MISSISSIPPI, MS US",1/2/2021,41.0,41.0,41.0
"MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT, WV US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"MOUNT RUSHMORE SOUTH DAKOTA, SD US",1/2/2021,38.0,38.0,38.0
"ST. MARY MONTANA, MT US",1/2/2021,36.0,36.0,36.0
"BARKHAMSTED, CT US",1/2/2021,37.55172413793103,37.55172413793103,37.55172413793103
"SPRUCE MOUNTAIN NEVADA, NV US",1/3/2021,34.0,34.0,34.0
"CASPER MOUNTAIN WYOMING, WY US",1/3/2021,21.0,21.0,21.0
"WISCONSIN RAPIDS ALEXANDER FIELD, WI US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"BLACK KNOB WASHINGTON, WA US",1/3/2021,43.0,43.0,43.0
"FORT BRAGG NORTH CAROLINA, NC US",1/3/2021,55.0,55.0,55.0
"COLORADO BEND TEXAS, TX US",1/3/2021,53.0,53.0,53.0
"MARTIN UNIVERSITY OF TN EXPERIMENT STATION, TN US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"SHOCK IDAHO, ID US",1/3/2021,34.0,34.0,34.0
"ELMORE VERMONT, VT US",1/3/2021,25.0,25.0,25.0
"ALLEGHENY PENNSYLVANIA, PA US",1/3/2021,32.0,32.0,32.0
"COLORADO CITY COLORADO, CO US",1/3/2021,48.0,48.0,48.0
"VALENTINE NEBRASKA, NE US",1/3/2021,36.0,36.0,36.0
"SOMERSET KENTUCKY, KY US",1/3/2021,39.0,39.0,39.0
"KIAMICHI OKLAHOMA, OK US",1/3/2021,42.0,42.0,42.0
"HAVRE DE GRACE 4.0 WNW, MD US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"UNIVERSITY OF HAWAII 713, HI US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"MCFARLAND HILL MAINE, ME US",1/3/2021,23.0,23.0,23.0
"BIG OAKS INDIANA, IN US",1/3/2021,35.0,35.0,35.0
"CONCORD 3.8 SSE, NH US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"EB FORSYTHE NEW JERSEY, NJ US",1/3/2021,42.0,42.0,42.0
"SAVRAW SOUTH CAROLINA, SC US",1/3/2021,53.0,53.0,53.0
"BUFFUMVILLE LAKE, MA US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"RINCON ARIZONA, AZ US",1/3/2021,40.0,40.0,40.0
"FAYETTEVILLE SPRINGDALE NW AR REGL AIRPORT, AR US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"NINIGRET RHODE ISLAND, RI US",1/3/2021,35.0,35.0,35.0
"MATTHEWS PALMER PLAYGROUND NEW YORK 6.8 NNW, NY US",1/3/2021,38.13793103448276,38.13793103448276,38.13793103448276
"EFFIE MINNESOTA, MN US",1/3/2021,27.0,27.0,27.0
"DAWSONVILLE GEORGIA, GA US",1/3/2021,42.0,42.0,42.0
